,cand_id,q1-score,q2-score,q3-score,q4-score,q5-score,q6-score,q7-score,q8-score,q9-score,q10-score,q11-score,q12-score,q13-score,q14-score,score,max_score,inv_id,inv_at,attempt_end,attempt_start,attempt_id,attempt_time,attempt_ct,window_exit_ct,out_of_window_seconds,network_disconnect_seconds,invite_method,team,copy_paste_ct,product_rating,tag_score_mysql,tag_score_sql,tag_scoresql_case_statement,tag_score_sql_joins,tag_score_sql_aggregate_functions,tag_score_sql_subquery,section_score_create_scripts_&_insert_statements,section_score:_data_query_language_(dql),q1-time_taken,q2-time_taken,q3-time_taken,q4-time_taken,q5-time_taken,q6-time_taken,q7-time_taken,q8-time_taken,q9-time_taken,q10-time_taken,q11-time_taken,q12-time_taken,q13-time_taken,q14-time_taken,q2-loc,q3-loc,q4-loc,q5-loc,q6-loc,q7-loc,q8-loc,q9-loc,q10-loc,q11-loc,q12-loc,q13-loc,q14-loc,q2-compile_and_test_ct,q3-compile_and_test_ct,q4-compile_and_test_ct,q5-compile_and_test_ct,q6-compile_and_test_ct,q7-compile_and_test_ct,q8-compile_and_test_ct,q9-compile_and_test_ct,q10-compile_and_test_ct,q11-compile_and_test_ct,q12-compile_and_test_ct,q13-compile_and_test_ct,q14-compile_and_test_ct,q2-lang,q3-lang,q4-lang,q5-lang,q6-lang,q7-lang,q8-lang,q9-lang,q10-lang,q11-lang,q12-lang,q13-lang,q14-lang,q2-plagiarism,q3-plagiarism,q4-plagiarism,q5-plagiarism,q6-plagiarism,q7-plagiarism,q8-plagiarism,q9-plagiarism,q10-plagiarism,q11-plagiarism,q12-plagiarism,q13-plagiarism,q14-plagiarism,q2-plagiarism_pct,q3-plagiarism_pct,q4-plagiarism_pct,q5-plagiarism_pct,q6-plagiarism_pct,q7-plagiarism_pct,q8-plagiarism_pct,q9-plagiarism_pct,q10-plagiarism_pct,q11-plagiarism_pct,q12-plagiarism_pct,q13-plagiarism_pct,q14-plagiarism_pct,q2-testcase_passed,q3-testcase_passed,q4-testcase_passed,q5-testcase_passed,q6-testcase_passed,q7-testcase_passed,q8-testcase_passed,q9-testcase_passed,q10-testcase_passed,q11-testcase_passed,q12-testcase_passed,q13-testcase_passed,q14-testcase_passed,q2-testcase_time,q3-testcase_time,q4-testcase_time,q5-testcase_time,q6-testcase_time,q7-testcase_time,q8-testcase_time,q9-testcase_time,q10-testcase_time,q11-testcase_time,q12-testcase_time,q13-testcase_time,q14-testcase_time,candidate_city,candidate_major,city,state,zip,latitude,longitude,clean_major,clean_major_class,score_pct,pass
0,245,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364628,2040-05-02 12:53:00,2030-06-16 18:07:00,2029-07-07 02:19:00,45697086,200323,1,5,566,181991,Invited Via Email,Developers|CDT_Admin,0,4.0,60.0,10,120,60,40,0,130.0,713.0,296.0,556,302,1927,373,1271,1033,324,838,1963,7450,794,8,8,8,9,8,9,11,11,8,9,10,18,22,3,4,4,3,10,7,10,3,3,6,11,11,4,3,3,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.030949,0.028781,0.027863,0.035116,0.030834,0.029307,0.01763,0.038016,0.032327,0.035142,0.034546,0.046162,0.033599,0.032327,0.035142,Shakopee,Computer Programming,Shakopee,MN,55379.0,44.7979,-93.5316,Computer Programming,IT-Dev,0.99,1
1,244,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364626,2040-04-10 14:30:00,2030-05-27 16:29:00,2029-06-19 09:06:00,45697042,118209,1,35,104605,59658,Invited Via Email,Developers|CDT_Admin,6,5.0,60.0,10,120,60,40,0,130.0,3983.0,1013.0,723,45649,208,219,1411,256,2421,313,267,529,399,10,10,11,14,9,10,12,12,6,11,11,17,36,11,9,5,20,4,4,4,5,35,5,6,5,3,5,35,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.031406,0.033562,0.030572,0.031983,0.028748,0.030422,0.033728,0.035155,0.034521,0.032966,0.038768,0.044457,0.036569,0.034521,0.032966,Roseville,Java,Roseville,MN,55113.0,45.0101,-93.1512,Software Development,IT-Dev,0.99,1
2,243,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364624,2040-03-19 16:07:00,2030-05-07 14:51:00,2029-06-01 15:53:00,45697178,198251,1,16,6344,87867,Invited Via Email,Developers|CDT_Admin,49,4.0,60.0,10,120,60,40,0,130.0,1695.0,818.0,1978,1802,9669,995,2966,3067,412,1041,646,62475,11058,14,14,14,17,10,14,18,16,14,15,17,26,28,8,6,5,4,6,5,15,8,5,4,4,20,4,8,5,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.031648,0.031584,0.032708,0.042401,0.032072,0.041947,0.033189,0.031864,0.034219,0.033834,0.039689,0.047495,0.043258,0.033834,0.039689,[TEK Global] 2021 -Java Developer 02,Minneapolis,Minneapolis,MN,55401.0,44.9842,-93.2663,,,0.99,1
3,242,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364622,2040-02-26 17:44:00,2030-04-17 13:13:00,2029-05-14 22:40:00,45697066,202941,1,35,8619,113154,Invited Via Email,Developers|CDT_Admin,0,3.0,60.0,10,120,60,40,0,130.0,3666.0,3340.0,30314,12210,22078,5927,2230,2344,2087,542,2117,670,1054,10,10,13,14,10,10,14,13,11,11,12,19,21,6,4,14,4,10,2,4,7,10,5,1,4,4,7,10,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03223,0.032183,0.029815,0.169977,0.032831,0.033345,0.037536,0.030909,0.045527,0.040788,0.038184,0.040404,0.043011,0.045527,0.040788,Superior,na,Superior,CO,80027.0,39.9615,-105.0875,,,0.99,1
4,241,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364620,2040-02-04 19:21:00,2030-03-28 11:35:00,2029-04-27 05:27:00,45697182,112078,1,34,22354,2305,Invited Via Email,Developers|CDT_Admin,7,,60.0,10,120,60,40,0,130.0,671.0,404.0,970,1274,1741,800,1388,1563,15421,3952,695,78838,1088,5,10,10,11,11,11,12,11,9,8,11,19,24,4,2,2,7,12,3,3,3,3,8,2,8,4,3,3,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.026557,0.029947,0.040285,0.165275,0.02908,0.033736,0.033152,0.030822,0.039235,0.038203,0.040126,0.041993,0.033885,0.038203,0.040126,[TEK Global] 2021 -Java Developer 02,Minneapolis,Minneapolis,MN,55401.0,44.9842,-93.2663,,,0.99,1
5,240,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364618,2040-01-13 20:58:00,2030-03-08 09:57:00,2029-04-09 12:14:00,45697234,202784,1,28,8509,132917,Invited Via Email,Developers|CDT_Admin,26,4.0,60.0,10,120,60,40,0,130.0,1833.0,1411.0,2389,2940,55223,991,1421,462,430,316,398,524,543,10,10,11,14,9,10,12,11,12,11,12,19,20,6,6,3,17,17,11,14,3,6,4,5,5,3,3,6,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.036506,0.032605,0.039025,0.042694,0.03568,0.0345,0.037966,0.032792,0.033988,0.041231,0.038007,0.040862,0.034738,0.041231,0.038007,[TEK Global] 2021 -Java Developer 02,Minneapolis,Minneapolis,MN,55401.0,44.9842,-93.2663,,,0.99,1
6,239,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364616,2039-12-22 22:35:00,2030-02-16 08:19:00,2029-03-22 19:01:00,45697328,209615,1,5,8424,185375,Invited Via Email,Developers|CDT_Admin,0,2.0,60.0,10,120,60,40,0,130.0,2860.0,2683.0,826,1437,405,368,616,323,552,309,841,1204,2772,9,11,12,13,10,12,13,11,10,11,12,21,24,25,22,6,20,11,9,12,10,9,10,12,15,9,10,9,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03077,0.044432,0.031103,0.045128,0.031466,0.03813,0.034032,0.033107,0.032613,0.043492,0.034414,0.041062,0.035278,0.043492,0.034414,[TEK Global] 2021 -Java Developer 02,Brooklyn Park,Brooklyn Park,MN,55428.0,45.0554,-93.3811,,,0.99,1
7,236,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364610,2039-12-01 00:12:00,2029-12-18 03:25:00,2029-01-28 15:22:00,45697022,111072,1,20,19985,51388,Invited Via Email,Developers|CDT_Admin,0,,60.0,10,120,60,40,0,130.0,727.0,370.0,739,278,1096,725,2275,624,427,14341,441,23941,12552,9,10,9,11,9,10,12,11,10,11,11,24,24,7,2,2,2,4,6,2,4,3,6,5,14,9,4,3,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028039,0.029343,0.030634,0.038693,0.044874,0.031569,0.035163,0.034132,0.037972,0.040876,0.038879,0.040489,0.03727,0.037972,0.040876,Northfield,,Northfield,MN,55057.0,44.4484,-93.2846,,,0.99,1
8,234,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364604,2039-11-09 01:49:00,2029-11-08 00:09:00,2028-12-24 04:56:00,45697046,201472,1,55,8821,138016,Invited Via Email,Developers|CDT_Admin,0,,60.0,10,120,60,40,0,130.0,2552.0,3139.0,3932,996,13448,1491,4150,27461,1068,318,507,1763,1372,10,10,11,13,11,10,13,11,10,11,12,24,20,9,6,4,8,9,20,9,7,4,4,4,12,5,7,4,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.041814,0.034416,0.034608,0.034003,0.034224,0.032855,0.052564,0.037032,0.031829,0.036115,0.035864,0.039631,0.058634,0.036115,0.035864,[TEK Global] 2021 -Java Developer 02,Maplewood,Maplewood,NJ,7040.0,40.7318,-74.2736,,,0.99,1
9,233,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364602,2039-10-18 03:26:00,2029-10-18 22:31:00,2028-12-06 11:43:00,45697060,201160,1,15,2645,181228,Invited Via Email,Developers|CDT_Admin,10,5.0,60.0,10,120,60,40,0,130.0,2354.0,1277.0,2344,3027,4132,176,1063,670,662,370,370,1248,1221,9,9,10,12,9,10,12,11,10,10,13,19,20,6,3,2,10,12,2,7,8,9,2,4,5,11,8,9,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029301,0.031572,0.03271,0.033913,0.034455,0.031116,0.037039,0.031962,0.031893,0.033192,0.047632,0.045049,0.033486,0.033192,0.047632,[TEK Global] 2021 -Java Developer 02,Crystal,Crystal,MN,55428.0,45.0554,-93.3811,,,0.99,1
