attempt_id,inv_at,attempt_end,attempt_start, day_diff ,attempt_time,attempt_ct,out_of_window_seconds,network_disconnect_seconds,window_exit_ct,copy_paste_ct,q1-time_taken,q2-time_taken,q3-time_taken,q4-time_taken,q5-time_taken,q6-time_taken,q7-time_taken,q8-time_taken,q9-time_taken,q10-time_taken,q11-time_taken,q12-time_taken,q13-time_taken,q14-time_taken,q13-testcase_passed,q14-testcase_passed,q2-testcase_time,q3-testcase_time,q4-testcase_time,q5-testcase_time,q6-testcase_time,q7-testcase_time,q8-testcase_time,q9-testcase_time,q10-testcase_time,q11-testcase_time,q12-testcase_time,q13-testcase_time,q14-testcase_time,score_pct,pass
77824554,3/3/2058 12:44,7/18/2022 22:55,7/12/2022 19:07, 6.00 ,79913,15,71014,64925,6,1,6,14632,0,0,0,0,0,0,0,0,0,0,0,0,,,0.033855,,,,,,,,,,,,,0.08,0
63124324,1/18/2058 15:58,6/8/2022 19:39,6/7/2022 8:41, 1.00 ,11699,7,0,4128,0,19,19,207,297,517,504,497,644,45,542,54,69,204,63,3702,1,1,0.046603,0.058537,0.100138,0.06446,0.072687,0.035397,0.058473,0.055802,0.088842,0.07323,0.243575,0.120705,0.068918,1,1
52965632,3/25/2058 11:07,8/8/2022 0:33,7/30/2022 12:20, 9.00 ,3002,6,430462,0,23,0,2,3003,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0
81785558,2/1/2054 2:40,10/14/2040 13:11,8/19/2038 23:03, 787.00 ,272130,4,246424,135883,11,0,10,78897,0,0,0,0,0,0,0,0,0,0,0,0,,,0.101097,,,,,,,,,,,,,0.01,0
48306072,11/4/2050 17:58,10/31/2031 10:57,9/23/2030 0:44, 403.00 ,257765,3,0,92062,0,0,25,820,1103,21252,34436,11902,3813,5129,51991,1107,941,1344,7139,22696,0,0,0.035117,0.034999,0.012967,0.017306,0.032603,0.013571,0.027851,0.015676,0.032519,0.019721,0.044217,0.028276,0.012942,0.62,0
55689274,6/4/2053 20:27,11/19/2036 17:13,3/11/2035 0:40, 619.00 ,349191,3,321191,306519,20,0,596,12075,908,380,9938,730,291,579,271,694,2534,7221,629,5650,0,0,0.011118,0.035977,0.075049,0.033934,0.018955,0.029449,0.071218,0.035573,0.034961,0.027129,0.018174,0.404135,0.015898,0.31,0
80476798,5/19/2022 16:16,5/19/2022 18:01,5/20/2022 15:28, (1.00),77195,2,14519,43995,40,16,27,2504,1039,1349,1234,740,188,836,3320,5861,4771,8264,2909,122,1,1,0.037314054,0.01874452,0.049699049,0.07587287,0.050258916,0.058779937,0.020207958,0.023808108,0.057984162,0.021393088,0.266068541,0.02334146,0.035881545,1,1
79120846,4/27/2022 17:53,4/29/2022 16:23,5/2/2022 22:15, (3.00),280330,2,48484,140752,119,13,38,4471,4436,66124,8776,30569,5357,11138,1522,1635,1465,1566,945,1442,1,1,0.071051009,0.020725267,0.040779702,0.181356872,0.017708233,0.073434832,0.027833571,0.067110647,0.425913295,0.055300922,0.108293072,0.0187307,0.117125,1,1
31278102,5/24/2040 11:16,10/7/2022 5:27,9/21/2022 15:59, 16.00 ,1129,2,45,104,3,0,,98,53,106,53,59,62,73,98,98,104,49,56,47,1,1,0.00784,0.00759,0.00797,0.00745,0.00912,0.00805,0.0085,0.00705,0.00782,0.00774,0.00801,0.00765,0.0082,1,1
56028114,4/5/2045 0:19,6/8/2037 9:33,9/4/2035 4:50, 643.00 ,64944,2,0,33016,0,0,29,3600,200,208,236,494,261,10092,2746,1071,2585,694,6604,2974,0,1,0.031716,0.032464,0.028772,0.03138,0.029861,0.032153,0.036079,0.03432,0.033304,0.03638,0.135325,0.084476,0.049369,0.92,1
