,cand_id,attempt_end_dt,attempt_start_dt,attempt_time,attempt_ct,window_exit_ct,out_of_window_time,max_score,net_disconnect_time,invite_method,team,copy_paste_ct,prod_rating,city,state,zip,cand_provided_major,major-clean,major-area,tek_bool,tek_detail,data_issue_bool,q01-score,q02-score,q03-score,q04-score,q05-score,q06-score,q07-score,q08-score,q09-score,q10-score,q11-score,q12-score,q13-score,q14-score,q01-time,q02-time,q03-time,q04-time,q05-time,q06-time,q07-time,q08-time,q09-time,q10-time,q11-time,q12-time,q13-time,q14-time,q02-loc,q03-loc,q04-loc,q05-loc,q06-loc,q07-loc,q08-loc,q09-loc,q10-loc,q11-loc,q12-loc,q13-loc,q14-loc,q02-compile&test_ct,q03-compile&test_ct,q04-compile&test_ct,q05-compile&test_ct,q06-compile&test_ct,q07-compile&test_ct,q08-compile&test_ct,q09-compile&test_ct,q10-compile&test_ct,q11-compile&test_ct,q12-compile&test_ct,q13-compile&test_ct,q14-compile&test_ct,score,score_pct,total_q_time,score_pass_bool,copy_paste_bool,attempt_time_of_day
0,101,2022-08-08 00:33:00,2022-07-30 12:20:00,0.8338888888888889,6,23,119.57277777777777,131,0.0,Public Link,,0,5.0,Dallas,TX,75201.0,Java Developer,Software Development,IT-development focused,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005555555555555556,0.8341666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8347222222222223,0,0,12:20:00
1,102,2022-10-07 05:27:00,2022-09-21 15:59:00,0.3136111111111111,2,3,0.0125,130,0.028888888888888888,Invited Via Email,Developers|CDT_Admin,0,5.0,New York,NY,10001.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,10,10,10,,0.02722222222222222,0.014722222222222222,0.029444444444444443,0.014722222222222222,0.01638888888888889,0.017222222222222222,0.020277777777777777,0.02722222222222222,0.02722222222222222,0.028888888888888888,0.01361111111111111,0.015555555555555555,0.013055555555555556,4,4,4,5,4,5,6,5,4,5,6,14,19,2,2,3,2,2,2,2,3,2,2,2,2,2,130.0,1.0,0.26555555555555554,1,0,15:59:00
2,103,2022-07-18 22:55:00,2022-07-12 19:07:00,22.198055555555555,15,6,19.726111111111113,131,18.03472222222222,Public Link,,1,5.0,,,,Bro,,,0,0,,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0016666666666666668,4.064444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.08,4.066111111111111,0,1,19:07:00
3,104,2022-09-17 03:49:00,2022-09-03 22:46:00,1.5744444444444445,1,2,140.98222222222222,130,0.0,Invited Via Email,Developers|CDT_Admin,0,,Philadelphia,PA,19102.0,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,22:46:00
4,105,2022-10-27 07:05:00,2022-10-09 09:12:00,4.65,2,4,120.00305555555556,130,0.0,Invited Via Email,Developers|CDT_Admin,0,,Coral Springs,FL,33065.0,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,09:12:00
5,106,2022-11-16 08:43:00,2022-10-27 02:25:00,73.42777777777778,1,128,27.785,130,42.423611111111114,Invited Via Email,Developers|CDT_Admin,0,4.0,Charlotte,NC,28202.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,0,0,10,,0.6941666666666667,0.17277777777777778,0.6975,0.18722222222222223,3.269722222222222,0.5719444444444445,3.6641666666666666,2.8625,0.2852777777777778,3.0475,13.220555555555556,0.6136111111111111,1.2080555555555557,6,6,8,9,5,5,11,7,6,17,8,4,19,15,7,26,9,21,14,95,30,7,92,186,14,16,110.0,0.85,30.495,0,0,02:25:00
6,107,2022-12-06 10:21:00,2022-11-13 19:38:00,91.48138888888889,1,65,58.48277777777778,130,18.14027777777778,Invited Via Email,Developers|CDT_Admin,0,5.0,Columbia,SC,29201.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,10,0,0,,0.3547222222222222,21.665277777777778,0.9711111111111111,0.5269444444444444,0.5902777777777778,0.48194444444444445,0.8038888888888889,0.3672222222222222,0.07416666666666667,0.34,12.572777777777778,21.95888888888889,9.053333333333333,9,10,10,10,9,9,9,10,9,10,6,15,28,9,4,27,15,13,9,18,9,3,15,3,15,50,110.0,0.85,69.76055555555556,0,0,19:38:00
7,108,2022-12-26 11:59:00,2022-12-01 12:51:00,77.29861111111111,1,283,4.568888888888889,130,52.570277777777775,Invited Via Email,Developers|CDT_Admin,0,3.0,Iron Station,NC,28080.0,,,,0,0,,,10,10,0,0,0,0,0,10,10,10,10,0,10,,3.213611111111111,0.7455555555555555,9.625277777777777,0.29777777777777775,2.1638888888888888,0.715,0.5694444444444444,3.4191666666666665,0.1947222222222222,0.5527777777777778,0.5008333333333334,1.771388888888889,0.9247222222222222,11,11,14,14,10,11,12,11,10,12,12,13,37,96,32,351,17,78,36,31,137,12,31,20,74,25,70.0,0.54,24.694166666666668,0,0,12:51:00
8,109,2023-01-15 13:37:00,2022-12-19 06:04:00,24.100555555555555,1,84,1.5408333333333333,130,11.708333333333334,Invited Via Email,Developers|CDT_Admin,0,2.0,Yanceyville,NC,27379.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,10,10,10,,0.10083333333333333,0.2386111111111111,0.36694444444444446,0.1322222222222222,1.896111111111111,0.5113888888888889,0.6288888888888889,2.0030555555555556,1.5369444444444444,3.1169444444444445,0.3472222222222222,1.1497222222222223,0.33611111111111114,5,5,6,7,8,11,13,12,7,38,17,14,22,5,6,13,3,41,12,7,44,32,61,10,30,3,130.0,1.0,12.365,1,0,06:04:00
9,110,2023-02-04 15:15:00,2023-01-05 23:17:00,44.42527777777778,1,13,32.74583333333333,130,31.5725,Invited Via Email,Developers|CDT_Admin,0,5.0,Charlotte,NC,28202.0,,,,0,0,,,10,10,10,10,10,0,10,10,10,10,10,0,10,,0.7116666666666667,0.415,0.38305555555555554,0.27944444444444444,1.4941666666666666,1.2077777777777778,2.75,0.23527777777777778,0.23194444444444445,1.0852777777777778,0.6975,0.7563888888888889,2.5525,12,15,13,16,13,15,20,14,16,27,17,21,37,18,16,14,13,58,44,94,11,10,28,9,33,29,110.0,0.85,12.8,0,0,23:17:00
10,111,2023-02-24 16:53:00,2023-01-23 16:30:00,140.97472222222223,1,62,49.85777777777778,130,93.06222222222222,Invited Via Email,Developers|CDT_Admin,0,3.0,Charlotte,NC,28202.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,10,0,0,,12.413055555555555,3.4125,2.7369444444444446,0.6105555555555555,0.47555555555555556,0.23916666666666667,3.161111111111111,0.2986111111111111,0.20083333333333334,0.46,0.37305555555555553,22.94972222222222,0.5402777777777777,8,8,9,11,9,10,13,12,9,9,11,12,11,157,92,58,5,7,6,54,5,4,15,4,43,13,110.0,0.85,47.87138888888889,0,0,16:30:00
11,112,2023-03-16 18:31:00,2023-02-10 09:43:00,65.34694444444445,1,134,3.923611111111111,130,55.02444444444444,Invited Via Email,Developers|CDT_Admin,0,3.0,Charlotte,NC,28202.0,,,,0,0,,,10,10,10,10,10,10,0,10,10,0,0,0,0,,1.1272222222222221,0.31916666666666665,0.5172222222222222,0.21222222222222223,1.3427777777777778,0.5741666666666667,3.1269444444444443,0.8013888888888889,0.14916666666666667,1.8805555555555555,0.16472222222222221,0.0038888888888888888,0.008055555555555555,9,9,13,14,23,15,13,18,9,11,0,0,0,27,4,8,2,28,13,36,27,3,59,0,0,0,80.0,0.62,10.2275,0,0,09:43:00
12,113,2023-04-05 20:09:00,2023-02-28 02:56:00,122.70944444444444,1,107,46.0875,130,71.06333333333333,Invited Via Email,Developers|CDT_Admin,0,5.0,Mount Pleasant,SC,29464.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,10,10,10,,0.3763888888888889,0.30027777777777775,0.785,0.7194444444444444,4.419444444444444,0.7394444444444445,0.6952777777777778,0.3302777777777778,0.25972222222222224,2.8658333333333332,0.27444444444444444,0.45861111111111114,39.13805555555555,9,9,8,13,8,9,12,9,9,13,11,15,22,13,13,22,10,58,19,11,12,9,30,8,9,38,130.0,1.0,51.36222222222222,1,0,02:56:00
13,114,2023-04-25 21:47:00,2023-03-17 20:09:00,38.178333333333335,1,0,0.0,130,30.270555555555557,Invited Via Email,Developers|CDT_Admin,0,2.0,Chapel Hill,NC,27514.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,10,0,10,,0.22722222222222221,0.12166666666666667,0.5075,0.8161111111111111,0.7036111111111111,0.1761111111111111,0.29833333333333334,0.18722222222222223,0.059444444444444446,0.6788888888888889,0.15583333333333332,2.9941666666666666,0.9672222222222222,5,6,6,9,4,5,7,6,5,16,7,17,28,9,3,23,23,25,12,7,10,2,22,6,98,37,120.0,0.92,7.8933333333333335,1,0,20:09:00
14,115,2023-05-15 23:25:00,2023-04-04 13:22:00,76.5975,2,279,56.54555555555555,130,25.534444444444443,Invited Via Email,Developers|CDT_Admin,0,4.0,Charlotte,NC,28202.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,0,10,0,0,,0.10083333333333333,0.04611111111111111,0.0763888888888889,0.06027777777777778,2.663611111111111,4.256666666666667,7.8277777777777775,0.25194444444444447,0.3227777777777778,6.325277777777778,2.658333333333333,10.041666666666666,14.563611111111111,6,6,7,7,5,5,8,6,7,9,8,7,21,4,4,4,5,44,58,122,8,6,121,24,55,60,100.0,0.77,49.195277777777775,0,0,13:22:00
15,116,2023-06-05 01:03:00,2023-04-22 06:35:00,61.81638888888889,1,96,17.673055555555557,130,41.02611111111111,Invited Via Email,Developers|CDT_Admin,0,4.0,Concord,CA,94518.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,10,0,10,,0.4122222222222222,0.365,0.3461111111111111,1.6633333333333333,1.6247222222222222,2.0747222222222224,4.746666666666667,2.6055555555555556,0.4280555555555556,1.4666666666666666,0.6397222222222222,2.8680555555555554,1.4783333333333333,4,4,4,5,4,8,16,8,6,6,7,1,4,9,9,9,42,43,37,123,23,10,45,16,28,14,120.0,0.92,20.719166666666666,1,0,06:35:00
16,117,2023-06-25 02:41:00,2023-05-09 23:48:00,56.08166666666666,2,131,8.515555555555556,130,37.907222222222224,Invited Via Email,Developers|CDT_Admin,0,1.0,High Point,NC,27260.0,,,,0,0,,,10,10,10,10,10,10,0,10,10,10,10,0,10,,1.2438888888888888,0.11916666666666667,1.2530555555555556,1.261111111111111,1.5952777777777778,1.1086111111111112,3.0925,0.8491666666666666,0.6527777777777778,2.6830555555555557,0.4305555555555556,1.7933333333333332,1.9633333333333334,9,10,10,14,13,10,7,10,16,16,16,6,56,16,2,26,26,51,16,36,28,6,73,11,40,45,110.0,0.85,18.045833333333334,0,0,23:48:00
17,118,2023-07-15 04:19:00,2023-05-27 17:01:00,47.42944444444444,1,17,27.8475,130,28.009166666666665,Invited Via Email,Developers|CDT_Admin,0,2.0,Charlotte,NC,28202.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,0,0,0,,0.6502777777777777,0.20027777777777778,0.29527777777777775,0.09444444444444444,0.40166666666666667,2.7622222222222224,0.1827777777777778,0.5877777777777777,0.6766666666666666,0.5030555555555556,3.105,7.895555555555555,1.9227777777777777,11,5,7,11,7,8,13,10,9,9,8,12,12,15,5,17,2,10,2,5,13,12,12,9,5,9,100.0,0.77,19.27777777777778,0,0,17:01:00
18,119,2023-08-04 05:57:00,2023-06-14 10:14:00,95.01416666666667,1,206,19.56861111111111,130,56.250277777777775,Invited Via Email,Developers|CDT_Admin,0,5.0,Elgin,IL,60120.0,,,,0,0,,,10,10,10,10,10,10,10,10,10,10,10,0,10,,0.6522222222222223,0.8688888888888889,0.775,0.1413888888888889,0.5755555555555556,0.09972222222222223,0.18638888888888888,0.6908333333333333,0.12111111111111111,11.388333333333334,2.155,15.139444444444445,5.932222222222222,5,5,6,7,4,4,7,5,5,7,9,10,14,24,24,5,3,11,2,4,23,2,108,29,150,75,120.0,0.92,38.72611111111111,1,0,10:14:00
